"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event","Medal"
"1","Mariya Vasilyevna Abakumova (-Tarabina)",2008,"F",22,179,80,"Russia","RUS","Athletics Women's Javelin Throw","Silver"
"2","Jos Manuel Abascal Gmez",1984,"M",26,182,67,"Spain","ESP","Athletics Men's 1,500 metres","Bronze"
"3","Andrey Khakimovich Abduvaliyev",1992,"M",26,190,125,"Unified Team","EUN","Athletics Men's Hammer Throw","Gold"
"4","Addis Abebe",1992,"M",21,160,50,"Ethiopia","ETH","Athletics Men's 10,000 metres","Bronze"
"5","Gezahgne Abera",2000,"M",22,166,58,"Ethiopia","ETH","Athletics Men's Marathon","Gold"
"6","Nils Georg berg",1912,"M",19,181,78,"Sweden","SWE","Athletics Men's Long Jump","Bronze"
"7","Nils Georg berg",1912,"M",19,181,78,"Sweden","SWE","Athletics Men's Triple Jump","Silver"
"8","Elvan Abeylegesse",2008,"F",25,159,40,"Turkey","TUR","Athletics Women's 5,000 metres","Silver"
"9","Edgar Allen ""Ed"" Ablowich",1932,"M",19,182,68,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"10","Harold Maurice Abrahams",1924,"M",24,183,75,"Great Britain","GBR","Athletics Men's 100 metres","Gold"
"11","Harold Maurice Abrahams",1924,"M",24,183,75,"Great Britain","GBR","Athletics Men's 4 x 100 metres Relay","Silver"
"12","Erik Adolf Efraim Abrahamsson",1920,"M",22,172,61,"Sweden","SWE","Athletics Men's Long Jump","Bronze"
"13","Benjamin Willard ""Ben"" Adams",1912,"M",22,188,78,"United States","USA","Athletics Men's Standing High Jump","Silver"
"14","Benjamin Willard ""Ben"" Adams",1912,"M",22,188,78,"United States","USA","Athletics Men's Standing Long Jump","Bronze"
"15","Platt Adams",1912,"M",27,188,78,"United States","USA","Athletics Men's Standing High Jump","Gold"
"16","Platt Adams",1912,"M",27,188,78,"United States","USA","Athletics Men's Standing Long Jump","Silver"
"17","Valerie Kasanita Adams-Vili (-Price)",2008,"F",23,193,120,"New Zealand","NZL","Athletics Women's Shot Put","Gold"
"18","Valerie Kasanita Adams-Vili (-Price)",2012,"F",27,193,120,"New Zealand","NZL","Athletics Women's Shot Put","Gold"
"19","Valerie Kasanita Adams-Vili (-Price)",2016,"F",31,193,120,"New Zealand","NZL","Athletics Women's Shot Put","Silver"
"20","Olapade Charles Adeniken",1992,"M",22,186,78,"Nigeria","NGR","Athletics Men's 4 x 100 metres Relay","Silver"
"21","Derrick Ralph Adkins",1996,"M",26,188,80,"United States","USA","Athletics Men's 400 metres Hurdles","Gold"
"22","Olabisi ""Bisi"" Afolabi",1996,"F",20,180,62,"Nigeria","NGR","Athletics Women's 4 x 400 metres Relay","Silver"
"23","Jorge Luis Aguilera Ruiz",1992,"M",26,172,64,"Cuba","CUB","Athletics Men's 4 x 100 metres Relay","Bronze"
"24","Timothy Joseph ""Tim"" Ahearne",1908,"M",22,170,57,"Great Britain","GBR","Athletics Men's Triple Jump","Gold"
"25","Arne Per hman",1948,"M",23,176,64,"Sweden","SWE","Athletics Men's Triple Jump","Gold"
"26","Marlene Ahrens Ostertag (-Ebensperger)",1956,"F",23,176,70,"Chile","CHI","Athletics Women's Javelin Throw","Silver"
"27","John Creyghton Ainsworth-Davis",1920,"M",25,NA,NA,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Gold"
"28","Mobolade Abimbola Ajomale",2016,"M",20,180,62,"Canada","CAN","Athletics Men's 4 x 100 metres Relay","Bronze"
"29","Chioma Ajunwa (-Opara)",1996,"F",24,164,57,"Nigeria","NGR","Athletics Women's Long Jump","Gold"
"30","Kriss Kezie Uche Chukwu Duru Akabusi",1984,"M",25,185,81,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Silver"
"31","Kriss Kezie Uche Chukwu Duru Akabusi",1992,"M",33,185,81,"Great Britain","GBR","Athletics Men's 400 metres Hurdles","Bronze"
"32","Kriss Kezie Uche Chukwu Duru Akabusi",1992,"M",33,185,81,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Bronze"
"33","John Akii-Bua",1972,"M",22,188,77,"Uganda","UGA","Athletics Men's 400 metres Hurdles","Gold"
"34","Morolake Akinosun",2016,"F",22,163,61,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"35","Liudmyla Vasylivna Aksenova (Shapovalova-)",1976,"F",29,165,58,"Soviet Union","URS","Athletics Women's 4 x 400 metres Relay","Bronze"
"36","Aleksandr Timofeyevich Aksinin",1976,"M",21,173,67,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Bronze"
"37","Aleksandr Timofeyevich Aksinin",1980,"M",25,173,67,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Gold"
"38","Hadi Soua'an Al-Somaily Jaadan",2000,"M",23,191,72,"Saudi Arabia","KSA","Athletics Men's 400 metres Hurdles","Silver"
"39","Ebbe Gustav Bertil Albertsson (-Andersson)",1948,"M",26,177,67,"Sweden","SWE","Athletics Men's 10,000 metres","Bronze"
"40","David Donald ""Dave"" Albritton",1936,"M",23,191,79,"United States","USA","Athletics Men's High Jump","Silver"
"41","Frederick Pitt ""Fred"" Alderman",1928,"M",22,177,75,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"42","Virgilijus Alekna",2000,"M",28,200,130,"Lithuania","LTU","Athletics Men's Discus Throw","Gold"
"43","Virgilijus Alekna",2004,"M",32,200,130,"Lithuania","LTU","Athletics Men's Discus Throw","Gold"
"44","Virgilijus Alekna",2008,"M",36,200,130,"Lithuania","LTU","Athletics Men's Discus Throw","Bronze"
"45","Lidiya Nikolayevna Alfeyeva",1976,"F",30,170,62,"Soviet Union","URS","Athletics Women's Long Jump","Bronze"
"46","Nia Sifaatihii Ali",2016,"F",27,170,65,"United States","USA","Athletics Women's 100 metres Hurdles","Silver"
"47","mile Ali Khan",1920,"M",17,180,69,"France","FRA","Athletics Men's 4 x 100 metres Relay","Silver"
"48","Deji Aliu",2004,"M",28,187,75,"Nigeria","NGR","Athletics Men's 4 x 100 metres Relay","Bronze"
"49","Nathon Allen",2016,"M",20,178,NA,"Jamaica","JAM","Athletics Men's 4 x 400 metres Relay","Silver"
"50","Ade Franci Alleyne-Forte",2012,"M",23,180,73,"Trinidad and Tobago","TTO","Athletics Men's 4 x 400 metres Relay","Bronze"
"51","Knut Emil Willehard Alm",1920,"M",31,170,63,"Sweden","SWE","Athletics Men's Cross-Country, Team","Bronze"
"52","Erik Albin Almlf",1912,"M",20,188,73,"Sweden","SWE","Athletics Men's Triple Jump","Bronze"
"53","Erik Albin Almlf",1920,"M",28,188,73,"Sweden","SWE","Athletics Men's Triple Jump","Bronze"
"54","Arvid Folke Alnevik (Andersson-)",1948,"M",28,182,70,"Sweden","SWE","Athletics Men's 4 x 400 metres Relay","Bronze"
"55","Glory Alozie Oluchi",2000,"F",22,155,51,"Nigeria","NGR","Athletics Women's 100 metres Hurdles","Silver"
"56","Fernando ""Nando"" Altimani",1912,"M",18,177,70,"Italy","ITA","Athletics Men's 10 kilometres Walk","Bronze"
"57","Ernesto Ambrosini",1920,"M",25,NA,NA,"Italy","ITA","Athletics Men's 3,000 metres Steeplechase","Bronze"
"58","Judith Florence ""Judy"" Amoore-Pollock",1964,"F",24,163,55,"Australia","AUS","Athletics Women's 400 metres","Bronze"
"59","Nijel Carlos Amilfitano Amos",2012,"M",18,179,60,"Botswana","BOT","Athletics Men's 800 metres","Silver"
