"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event"
"1","Mariya Vasilyevna Abakumova (-Tarabina)",2008,"F",22,179,80,"Russia","RUS","Athletics Women's Javelin Throw"
"2","Jos Manuel Abascal Gmez",1984,"M",26,182,67,"Spain","ESP","Athletics Men's 1,500 metres"
"3","Andrey Khakimovich Abduvaliyev",1992,"M",26,190,125,"Unified Team","EUN","Athletics Men's Hammer Throw"
"4","Addis Abebe",1992,"M",21,160,50,"Ethiopia","ETH","Athletics Men's 10,000 metres"
"5","Gezahgne Abera",2000,"M",22,166,58,"Ethiopia","ETH","Athletics Men's Marathon"
"6","Nils Georg berg",1912,"M",19,181,78,"Sweden","SWE","Athletics Men's Long Jump"
"7","Nils Georg berg",1912,"M",19,181,78,"Sweden","SWE","Athletics Men's Triple Jump"
"8","Elvan Abeylegesse",2008,"F",25,159,40,"Turkey","TUR","Athletics Women's 5,000 metres"
"9","Edgar Allen ""Ed"" Ablowich",1932,"M",19,182,68,"United States","USA","Athletics Men's 4 x 400 metres Relay"
"10","Harold Maurice Abrahams",1924,"M",24,183,75,"Great Britain","GBR","Athletics Men's 100 metres"
"11","Harold Maurice Abrahams",1924,"M",24,183,75,"Great Britain","GBR","Athletics Men's 4 x 100 metres Relay"
"12","Erik Adolf Efraim Abrahamsson",1920,"M",22,172,61,"Sweden","SWE","Athletics Men's Long Jump"
"13","Benjamin Willard ""Ben"" Adams",1912,"M",22,188,78,"United States","USA","Athletics Men's Standing High Jump"
"14","Benjamin Willard ""Ben"" Adams",1912,"M",22,188,78,"United States","USA","Athletics Men's Standing Long Jump"
"15","Platt Adams",1912,"M",27,188,78,"United States","USA","Athletics Men's Standing High Jump"
"16","Platt Adams",1912,"M",27,188,78,"United States","USA","Athletics Men's Standing Long Jump"
"17","Valerie Kasanita Adams-Vili (-Price)",2008,"F",23,193,120,"New Zealand","NZL","Athletics Women's Shot Put"
"18","Valerie Kasanita Adams-Vili (-Price)",2012,"F",27,193,120,"New Zealand","NZL","Athletics Women's Shot Put"
"19","Valerie Kasanita Adams-Vili (-Price)",2016,"F",31,193,120,"New Zealand","NZL","Athletics Women's Shot Put"
"20","Olapade Charles Adeniken",1992,"M",22,186,78,"Nigeria","NGR","Athletics Men's 4 x 100 metres Relay"
"21","Derrick Ralph Adkins",1996,"M",26,188,80,"United States","USA","Athletics Men's 400 metres Hurdles"
"22","Olabisi ""Bisi"" Afolabi",1996,"F",20,180,62,"Nigeria","NGR","Athletics Women's 4 x 400 metres Relay"
"23","Jorge Luis Aguilera Ruiz",1992,"M",26,172,64,"Cuba","CUB","Athletics Men's 4 x 100 metres Relay"
"24","Timothy Joseph ""Tim"" Ahearne",1908,"M",22,170,57,"Great Britain","GBR","Athletics Men's Triple Jump"
"25","Arne Per hman",1948,"M",23,176,64,"Sweden","SWE","Athletics Men's Triple Jump"
"26","Marlene Ahrens Ostertag (-Ebensperger)",1956,"F",23,176,70,"Chile","CHI","Athletics Women's Javelin Throw"
"27","John Creyghton Ainsworth-Davis",1920,"M",25,NA,NA,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay"
"28","Mobolade Abimbola Ajomale",2016,"M",20,180,62,"Canada","CAN","Athletics Men's 4 x 100 metres Relay"
"29","Chioma Ajunwa (-Opara)",1996,"F",24,164,57,"Nigeria","NGR","Athletics Women's Long Jump"
"30","Kriss Kezie Uche Chukwu Duru Akabusi",1984,"M",25,185,81,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay"
"31","Kriss Kezie Uche Chukwu Duru Akabusi",1992,"M",33,185,81,"Great Britain","GBR","Athletics Men's 400 metres Hurdles"
"32","Kriss Kezie Uche Chukwu Duru Akabusi",1992,"M",33,185,81,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay"
"33","John Akii-Bua",1972,"M",22,188,77,"Uganda","UGA","Athletics Men's 400 metres Hurdles"
"34","Morolake Akinosun",2016,"F",22,163,61,"United States","USA","Athletics Women's 4 x 100 metres Relay"
"35","Liudmyla Vasylivna Aksenova (Shapovalova-)",1976,"F",29,165,58,"Soviet Union","URS","Athletics Women's 4 x 400 metres Relay"
"36","Aleksandr Timofeyevich Aksinin",1976,"M",21,173,67,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay"
"37","Aleksandr Timofeyevich Aksinin",1980,"M",25,173,67,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay"
"38","Hadi Soua'an Al-Somaily Jaadan",2000,"M",23,191,72,"Saudi Arabia","KSA","Athletics Men's 400 metres Hurdles"
"39","Ebbe Gustav Bertil Albertsson (-Andersson)",1948,"M",26,177,67,"Sweden","SWE","Athletics Men's 10,000 metres"
"40","David Donald ""Dave"" Albritton",1936,"M",23,191,79,"United States","USA","Athletics Men's High Jump"
"41","Frederick Pitt ""Fred"" Alderman",1928,"M",22,177,75,"United States","USA","Athletics Men's 4 x 400 metres Relay"
"42","Virgilijus Alekna",2000,"M",28,200,130,"Lithuania","LTU","Athletics Men's Discus Throw"
"43","Virgilijus Alekna",2004,"M",32,200,130,"Lithuania","LTU","Athletics Men's Discus Throw"
"44","Virgilijus Alekna",2008,"M",36,200,130,"Lithuania","LTU","Athletics Men's Discus Throw"
"45","Lidiya Nikolayevna Alfeyeva",1976,"F",30,170,62,"Soviet Union","URS","Athletics Women's Long Jump"
