"","name","event","timeSecs","timeMins","country","country2","year","medal","city","sex","gdp","pop","age","height","weight","dist"
"1","kenenisa bekele","10000M Men",1621.2,27.02,"ETH","Ethiopia",2008,"G","Beijing","M",7.26e+10,83200000,26,165,56,10000
"2","sileshi sihine","10000M Men",1622.8,27.0466666666667,"ETH","Ethiopia",2008,"S","Beijing","M",7.26e+10,83200000,25,168,58,10000
"3","micah kogo","10000M Men",1624.1,27.0683333333333,"KEN","Kenya",2008,"B","Beijing","M",7.6e+10,39100000,22,170,60,10000
"4","haile gebrselassie","10000M Men",1638.2,27.3033333333333,"ETH","Ethiopia",2000,"G","Sydney","M",4.01e+10,66500000,27,165,56,10000
"5","paul tergat","10000M Men",1638.3,27.305,"KEN","Kenya",2000,"S","Sydney","M",5.47e+10,31500000,31,182,62,10000
"6","assefa mezgebu","10000M Men",1639.7,27.3283333333333,"ETH","Ethiopia",2000,"B","Sydney","M",4.01e+10,66500000,22,175,55,10000
"7","khalid skah","10000M Men",1666.7,27.7783333333333,"MAR","Morocco",1992,"G","Barcelona","M",1.15e+11,25800000,25,170,60,10000
"8","richard chelimo","10000M Men",1667.7,27.795,"KEN","Kenya",1992,"S","Barcelona","M",4.59e+10,25000000,19,163,54,10000
"9","addis abebe","10000M Men",1680.1,28.0016666666667,"ETH","Ethiopia",1992,"B","Barcelona","M",2.62e+10,51600000,21,160,50,10000
"10","alberto cova","10000M Men",1667.5,27.7916666666667,"ITA","Italy",1984,"G","Los Angeles","M",1.27e+12,56900000,25,176,58,10000
"11","michael mcleod","10000M Men",1686.2,28.1033333333333,"GBR","United Kingdom",1984,"S","Los Angeles","M",1.16e+12,56400000,32,180,63,10000
"12","michael musyoki","10000M Men",1686.5,28.1083333333333,"KEN","Kenya",1984,"B","Los Angeles","M",3.33e+10,18900000,28,168,54,10000
"13","lasse viren","10000M Men",1660.4,27.6733333333333,"FIN","Finland",1976,"G","Montreal","M",8.97e+10,4730000,26,180,60,10000
"14","carlos lopes","10000M Men",1665.2,27.7533333333333,"POR","Portugal",1976,"S","Montreal","M",1.16e+11,9350000,29,167,55,10000
"15","brendan foster","10000M Men",1674.9,27.915,"GBR","United Kingdom",1976,"B","Montreal","M",1.02e+12,56200000,28,178,68,10000
"16","naftali temu","10000M Men",1767.4,29.4566666666667,"KEN","Kenya",1968,"G","Mexico","M",1.78e+10,10500000,23,174,62,10000
"17","mamo wolde","10000M Men",1768,29.4666666666667,"ETH","Ethiopia",1968,"S","Mexico","M",2.18e+10,26900000,36,170,54,10000
"18","mohamed gammoudi","10000M Men",1774.2,29.57,"TUN","Tunisia",1968,"B","Mexico","M",1.43e+10,4840000,30,172,60,10000
"19","david power","10000M Men",1718.2,28.6366666666667,"AUS","Australia",1960,"B","Rome","M",1.44e+11,10300000,32,170,63,10000
"20","alain mimoun","10000M Men",1772.8,29.5466666666667,"FRA","France",1952,"S","Helsinki","M",3.86e+11,42400000,31,170,56,10000
"21","ilmari salminen","10000M Men",1815.4,30.2566666666667,"FIN","Finland",1936,"G","Berlin","M",1.97e+10,3600000,33,181,66,10000
"22","arvo askola","10000M Men",1815.6,30.26,"FIN","Finland",1936,"S","Berlin","M",1.97e+10,3600000,26,174,65,10000
"23","volmari iso-hollo","10000M Men",1820.2,30.3366666666667,"FIN","Finland",1936,"B","Berlin","M",1.97e+10,3600000,29,176,64,10000
"24","paavo nurmi","10000M Men",1818.8,30.3133333333333,"FIN","Finland",1928,"G","Amsterdam","M",1.54e+10,3400000,30,174,65,10000
"25","ville ritola","10000M Men",1819.4,30.3233333333333,"FIN","Finland",1928,"S","Amsterdam","M",1.54e+10,3400000,32,175,66,10000
"26","edvin wide","10000M Men",1860.8,31.0133333333333,"SWE","Sweden",1928,"B","Amsterdam","M",4.07e+10,6120000,32,170,62,10000
"27","paavo nurmi","10000M Men",1905.8,31.7633333333333,"FIN","Finland",1920,"G","Antwerp","M",9.66e+09,3140000,22,174,65,10000
"28","joseph guillemot","10000M Men",1907.2,31.7866666666667,"FRA","France",1920,"S","Antwerp","M",2.05e+11,39100000,20,160,55,10000
"29","james wilson","10000M Men",1910.8,31.8466666666667,"GBR","United Kingdom",1920,"B","Antwerp","M",3.09e+11,43800000,28,173,60,10000
"30","mohamed farah","10000M Men",1650.4,27.5066666666667,"GBR","United Kingdom",2012,"G","London","M",2.18e+12,64300000,29,175,58,10000
"31","galen rupp","10000M Men",1650.9,27.515,"USA","United States",2012,"S","London","M",1.61e+13,313000000,26,181,61,10000
"32","tariku bekele","10000M Men",1651.4,27.5233333333333,"ETH","Ethiopia",2012,"B","London","M",1.06e+11,92400000,25,173,65,10000
"33","kenenisa bekele","10000M Men",1625.1,27.085,"ETH","Ethiopia",2004,"G","Athens","M",4.83e+10,74600000,22,165,56,10000
"34","sileshi sihine","10000M Men",1629.4,27.1566666666667,"ETH","Ethiopia",2004,"S","Athens","M",4.83e+10,74600000,21,168,58,10000
